¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{BANNERS_COLOVIA_DESCR}Count Carolus Aquilarios \n\n During the rebellion against the Longhouse emperors, Colovia was in grave danger, as most of forces marched east to war. Thus, it was left to Carolus Aquilarios, Varen's nephew, to defend Colovia against the enemies from Gold Coast led by Imperial Prefect Ephrem Benirus, who remained loyal to the emperor. Many battles have been fought, and the so called Varen's Wall was built to defend the Colovia. After the war Carolus Aquilarios served as Count of Kvatch, and following Varen's disappearance a de facto leader of House Aquilarios. When the Soulburst happen and The Three Alliances invaded Cyrodiil, Colovia led by Carolus didnt support The Empress Regent, and remained neutral in the war. However, some time prior to that Anvil, weakened by the war with Colovia, fell to the redguard pirates led by Fortunata ap Dugal, who proclamed herself a governor of Anvil. Thus, a new war with Anvil might be under way.
{BANNERS_HRE_DESCR}Deadric God Molag Bal \n\n 
{BANNERS_SAXONS_DESCR} King of Worms Mannimarco \n\n 
{BANNERS_HUNGARY_DESCR} Archmagister Nelos Otheri \n\n  After Morrowind's defeat in Four Score War against The Second Empire, the dunmers have been rebuilding for a long time, under The Tribunal's guidance, increasing Tribunal's authority. Throughout this time, The Grand Council consisting of the 5 great houses was responsible for local governance in Morrowind, while the land as whole was ruled indirectly by The Tribunal. Great House Telvanni usually mind their own business in the east, and dont participate in the disputes between other houses. However, similarily as House Dres, they also participated very actively in slavery business, and they also control Heimlyn keep. House Telvanni consists of many powerful mages, such as Divayth Fyr, who keeps close relations with Sotha-Sil. They participated in the war against akaviri as everyone else, but afterwards they didnt become part of Ebonheart Pact, as they rejected to abandon slavery, and be an equal to the dunmers and argonians. Thus they are not part of the Alliance War, but they struggle with Planemeld as everyone else. House Telvanni council consists of five powerful telvanni wizards who rules the House, formally led by Archmagister Nelos Otheri.
{BANNERS_BYZANTIUM_DESCR}High Queen Ayrenn \n\n During the great reign of High King Hidelith, his daughter Ayrenn was meant to inherit the throne. However, by the end of her youth, amid many signs and portents, she disappeared for nearly 10 years, and in the meantime her younger brother Naemon was named an heir, and had been studying Royal Ceremoniarchy, and was also matriculated into Sapiarch's Labyrinth. When High King Hidelith passed, two years before the Alliance War, Naemon was preparing his coronations liturgy to enable himself to inherit the throne. Neverthless, to everyone's surprise, princess Ayrenn had returned and claimed her birthright, and succeeded, known as "The Unforeseen Queen" ever since. Having travelled Tamriel extensively during her time away, she was aware of the dire threats menacing the world and saw it as a proper duty of the elves to put things right. Prince Naemon accepted the result and has been assisting Ayrenn with her rule. Later, he married High Kinlady Estre Errinorne, cannnoreeve of Skywatch, who has also been a secret leader of Veiled Heritance, a radical altmer party believing in altmer's superiority over other races. High Queen Ayrenn continued in her father's work. She followed her father's footsteps and furthered altmer help to the Camorans in Valenwood, who were in a very bad situation due to the civil war and imperial-colovian invasion from the north. Together, they drove out the imperials and ended the civil war, and helped Aearadan Camoran rule all of Valenwood, eventhough some of the ruthless altmer generals actions towards the bosmeri rebels had been been controversial. During the Khanatan Flu, which had been immensely bad in Elsweyr, the altmers sent their healers to Elsweyr, which helped khajiits handle the disease significantly. And thus, when the Planemeld begun, and the other alliances were formed, the altmers, bosmers and khajiits responded by signing Elden Accord in Elden Root as equals, forming the First Aldmeri Dominion, and entering the Alliance War. The Dominion's goal was to usher a new age of elven and khajiit rule across Tamriel to protect its lands from the careless actions of the younger and less wiser races. Nowadays, Ayrenn is preparing for her ratification ceremony in Elden Root's Orrery, to provide a validity for her leadership of Dominion. She appointed her cousin Alwinarwe "Proxy Queen" to handle affairs in Summerset Isle during the war. Ayrenn also have at her disposal several very loyal companions, such as battlereeve Urcelmo or Razum-dar, who is a member of Eyes of the Queen, the Dominon's secret intelligence network. Neverthless, the anger amongst the radical altmers have been growing, and culminated with these events. Thus the Veiled Heritance started a rebellion against Ayrenn, hoping to replace her with Estre through her marriage to Naemon. After an attempt to assassinate Ayrenn in Vulkhel port in Auridon, and Estre being revealed as the Heritance's leader, Ayrenn has ordered Estre's death, putting her brother's loyalty at risk. Ayrenn also has to deal with the maormeri, who came per Heritance's invitation, and have sacked several important coastal settlements...
{BANNERS_ALTMER_DESCR}High Kinlady Estre Erinnorne \n\n High Kinlady Erinnorne had been a secret leader of the Veiled Heritance radical party for some time already, when Ayrenn became queen. Being it a public knowledge that Estre was bitter that she lost the throne to Ayrenn, Ayrenn wanted to grant her a higher position in Thalmor, the government of Dominion. However, when the Dominion was formed, the Heritance soon revolted, as they were vehemently against Ayrenn and her alliance with bosmers and khajiits. The Heritance enjoyed a widespread support amongst the altmers, especially by war veterans and the youth. Many powerful figures stand behind them, especially Vicereeve Pelidil, an advisor to prince Naemon, and General Endare the "Butcher", who leads Jade Dragons and was responsible for the massacre against rebellious bosmers in Cormount, which has caused many bosmers' hatred towards the altmers till this day. However, the Heritance suffered several initial defeats and failures, due to Ayrenn's capable battlereeves and Eyes of The Queen. As Estre is growing desperate, she has been willing to negotiate any alliance to help her cause, such as a pact with the high command of maormer Sea Vipers, who promised to name her viceroy of Summerset Isles under maormer suzzerainty, if she assisted them in taking it, while she intented to betray the maormer eventually. Neverthless, the maormer already invaded Summerset Isle, and seized Sunhold and Sea Keep. Estre also considers making a pact with with Merhunes Dagon, to get the the help of daedra...
{BANNERS_DENMARK_DESCR}King Kurog gro-Bagrakh \n\n After Durcorach's defeat in High Rock by the bretons, the orsimer have been slowly regaining Wrothgar from Winterborn clan. Young warrior Kurog of clan Bagkrakh was ambitious and unsatisfied with his life, thus he seeked adventures elsewhere and joined mercenary companies with his companions, mainly his friend Bazrag "The Butcher" gro-Fharrun. Together they travelled into many parts of Tamriel and on his way Kurog also met Emeric Cumberland, and they became friends. When he returned to his clan, Chief Bolazgar gro-Bagrakh had already been waiting for him with his guards. Kurog publicly challenged Bolazgar and decapitated him in a combat, and thus he became chieftain Kurog gro-Bagrakh. With the help of his mother Alga, who became Grand-Forge Mother, he has spent several years consolidating his powers and forming alliances with other clans. He took several wives from various clans simultaneousl to strenghten his realm, such as Hunt-Wife Noroga of Clan Shatul and Forge-Wife Tugha, apart from many other wives. He first attempted to rebuild Yashnag gro-Yazgu stronghold near Falkreath to rival the wealthiness of Wayrest city, but the nords and reachmen made it impossible. When the Ranser's War happened, Emeric sent emissaries to Kurog to ask for military aid. Kurog accepted only after a numerous demands towards The Covenant, which included granting Kurog de iure rulership of whole Wrothgar, to support construction of new Orsinium, and being an equal partner in The Covenant, apart of many other things. Thus, nowadays the orsimer warriors are fighting in the Alliance War as well. The Reachmen, who have previously claimed all of Wrothgar, are being pushed back to Frostbreak Fortress, where the last warriors of Winterborn clan resist the orsimer siege. Meanwhile in Wrothgar Kurog gro-Orsinium grows frustrated by the constant conflicts bewteen the chiefains, and is attempting to orchestrate a crisis between Trinimac and Malacath cults, to eliminate several chiefs, and most importantly his main rival Bazrag gro-Fharrun, who used to be his friend... 
{BANNERS_EGYPT_DESCR}Mane Akkhuz-ri \n\n Khanatan Flu ravaged the Elsweyr hard, similarily as Thrassian plague hundreds years before. The situation had ben desperate until the altmers sent their healers and supplies, due to which the flu could have been finally contained. Many were suspicious of altmer help, as they didnt expect it to be for free. The Empire used this opportunity to renew their attacks, and they managed to push as far as Riverhold and Orcrest, slowly being pushed back afterwards, leaving Orcrest in ruins. When most of the lost lands were retaken, Euraxia Tharn orchestrated a Frostfall Coup in Rimmen, during which anequina king Hemakar and queen Numara were assassinated, and Euraxia became a queen of Rimmen. Later, they joined the Dominion along with altmers and khajiits, for the help the altmers provided during the Khanatan Flu. The Elden Accord was signed by lord Gharesh-ri, the Speaker of The Mane. Several khajiits are part of Thalmor government as well, with lord Gharesh-hi holding the highest position from amongst all the khajiits. And thus, along with their altmer and bosmer allies, the khajiits participate in the Alliance War. As the war has erupted again, the imperials led by Javad Tharn, son of Euraxia Tharn, renewed their attacks against Reaper's March and northern Elsweyr as whole. Javad Tharn allied himself with daedric Stonefire Cult, who were able to summon Dro-m'Athra, a kind of corruped khajiits who lost their souls to daedric princes. Fortunately, a royal lineage of Anequina may be restored, as one of Gharesh-ri agents, Khamira, is rumoured to be a daughter of deceased King Hemakar...
{BANNERS_MILAN_DESCR}Mother-Goddess Almalexia  \n\n Once the akaviri sacked Windhelm and headed for Morrowind, Alalexia quickly gathered all dunmer troops and marched out to meet them. Combined with nordic troops, who uprecedently followed the akaviri, they encircled the akaviri troops, but only after Heita-Meen's argonians arrived, the victory was possible, and thus, the invaders were driven into the sea. This led to a formation of Ebonheart Pact, a fragile alliance, which was possible only due to the goddess Almalexia convincing the dunmers. However, she hadnt managed to convince Great House Telvanni, who rejected to be a part of such an alliance, and to free their argonian slaves. Apart from the dunmers, The Pact also includes Eastern Skyrim and northern argonian tribes. The Pact forces are participating in The Alliance War in Cyrodiil. The Capital of the Pact is in Mournhold, and the dunmers hold a significant power in it, as they are the strongest faction. The Great Moot is lead by High King Jorunn the Skald-King, as well the three living mortal gods of Morrowind. As Sotha-Sil has been mostly occupied with his projects in Clockwork City, and lord Vivec suffering an unexplained drain of his divine power in Vivec City, Almalexia is mostly ruling the dunmers and the houses on her own. Important part of the Pact are the Hidden Armigers, a secret intelligence network, whose agents answer to Jorunn the Skald-King, while the armies of the pact are clashing for the Ruby Throne in Cyrodiil, however there are important matters that dunmers need to sort in their homeland. In Vvardenfel, Vivec's loss of power needs to be investigated, while the ashlanders tribes in both Vvardenfell and the mainland are causing more and more troubles, some of them raiding dunmer holdings, who were left unprotected due to most dunmer troops being away. Simultenousely, The Covenant has sent their strong navy to raid Stonefalls, while the daedric dunmer cults such as Maulborn, led by Magistrix Vox, experience a rise in popularity, due to the many dunmers being unhappy with the Pact's formation. And dangerous Llodos plague has been spreading in Deshaan...
{BANNERS_TIMURIDS_DESCR}Grandmaster Omin Dres\n\n After Morrowind's defeat in Four Score War against The Second Empire, the dunmers have been rebuilding for a long time, under The Tribunal's guidance, increasing Tribunal's authority. Throughout this time, The Grand Council consisting of the 5 great houses was responsible for local governance in Morrowind, while the land as whole was ruled indirectly by The Tribunal. Great House Dres has been focusing mainly on their slavery business, exporting many slaves into whole Morrowind, and enlarging their plantations, making them one of the wealthiest houses, despite minor defeats against House Hlaalu. Nowadays, Grandmaster Omin Dres rules from Kragenmor, and House Dres also has control of Ebonheart city, governed by dres councilor Drathus Othral on their behalf, and house Dres is not interested in gaining lands in Vvardenfell. Apart from that, they control their home lands around Thir. Great House Dres has been very cruel towards the argonians, and doesnt bother themselves much with the laws enforced by the tribunal ordinators or other houses. Thus, they had many objections towards Pact's formation, and they still havent fully embraced all the new laws. Afterwards their participation in the war against the akaviri and formation of the Pact, their warriors fight in Cyrodiil as part of the Alliance War. As they lost their main income due to argonian slavery being abolished, as well as loosing their holdings in Thornmarsh, they attempt to bring khajiit slaves to serve instead of the argonians. Dres holding in Ebonheart is threatened by the covenant raiders led by General Serien, and Drathus Othral needs to work with both argonians and nords to repel them...
{BANNERS_RUSSIA_DESCR}Archcanon Heita-Meen \n\n  Heita-Meen was enslaved by House Dres, owned by councilman Glathis Dres, who was known for his cruelty. Heita-Meen managed to escape with several of her fellow slaves, but was later caught in Thornmarsh by the argonians of Archein Tribe, who had collaborated with the dunmer slavers. During her captivity, she received a vision from the Hist, who wanted her to help dunmers and nords in a battle, as a way to bring freedom to the argonians. Most of dunmer forces were away to face the akaviri, so when she was brought back to Glathis Dres, she strangled him with his own whip, and then she challenged the centurion of Archein tribe by right-of-combat. She won the combat, and with the archeins under her command, she marched back to Shadowfen, to gather more troops. With help of Walks-in-Ash, she got Stormhold's Shellbacks to join, and marched to Stonefalls with all her troops , where they were instrumental in defeating the akaviri. The allied forces of argonians, dunmers and Eastern Skyrim nords signed Ebonheart Pact, which also freed all argonians enslaved by the dunmers, despite a huge opposition from House Dres and especially house Telvanni. Guided by Hist, Heita-Meen's visions had allowed argonians to preserve their culture and reclaim their land under the Pact. She was named vicecanon of Stormhold, sharing there power also with nord vicecanon Hrondar and dnumer vicenanon Servyna. Heita-Meen also serves as archcanon of Shadowfen, and she managed to convince argonians of Thornmarsh and Gideon to join the Pact as well, while the rest of Black Marsh is not part of it, and neither they participate in the Alliance War. Several argonians hold important officies in the Pact, such as Eyes-of-Steel representing the argonians in the Great Moot in Mournhold. Recently, an argonian Sees-All-Colors became a guildmaster of Fighters Guild. Neverthless, Blackmarsh needs to face Dominion invasion, whose army sailed throuh the rivers to Shadowfen. Altmer alchemist Ruuvitar is hoping to disrupt argonians' connection to the Hist, which would cripple their participation in The Alliance War...
{BANNERS_SCOTLAND_DESCR}High King Jorunn Skald-King\n\n High Queen Maabjarn Flame-Hair's heir was supposed to be her oldest child, princess Nurnhilde, thus both twins, Jorunn and younger Fildgor, believed Nurnhilde would be the next high queen, thus, they had attended matters elsewhere. Jorunn became a singer and did quite of studying in Skald's retreat in Riften and travelling across Tamriel, not interested in politics. Whereas his brother Fildgor travelled to Western Skyrim and became leader of Stormfist Clan. Thus, when The Akaviri invasion led by Ada'Soom Dir-Kamal happened, they hadnt been in Eastmarch. During the siege of Windhelm, which lasted for about a month, large portions of Windhelm had been destroyed and High Queen Maabjarn was slained, for a short time being replaced by Nurnhilde. But when the city fell, Nurrnhilde was killed as well. In the meantime, Jorunn, who was in Riften in time, started to gather armies from other holds to save Windhelm, but also had to clash with Fildgor Orcthane, who came to reinformence Windhelm, proclaiming himself the high king upon finding it already fell. Jorunn and Fildgor fought in a combat, Fildgor lost and was exiled. Jorunn seeked help of Greybeards of High Hrothgar, to save the kingdom. They learned him a shout to summon a fallen hero from Sovngarde, Wulfarth The Ash-King, eventhough other sources claim it was Almalexia who summoned the Ash-King. Neverthless, Jorunn, now called the "Skald-King" as a comparisson to Wulfarth, fortified The Rift, with help of Wulfarth. However, The Akaviri instead rather bypassed The Rift and continued to Morrowind, aiming to sack Mournhold, expecting that the nords would be glad to see them leave. Instead, for the first time since the battle of Red Mountain a nord army entered Morowind, and they followed the akaviri. A show of unprecedented cooperation between races with a great deal of historical enmity, the nords led by Jorunn and Wulfarth and dunmers led by Almalexia, worked together to encircle Ada'Soom Dir-Kamal's forces in Stonefalls. It was a clouse fought engagement until the surprise arrival of Argonian reinformences of Shellbacks phalanx led by Heita-Meen, who helped to drive the invaders back to the sea. The resulting alliance was ratified with treaties signed in Ebonheart, thus the alliance later being called the Ebonheart Pact. The Ebonheart treaty included a manumission of the argonians enslaved by dunmers for their crucial intervention. The Pact struggled to reconcile the desires of such distinct faction, but when Planemeld broke out, the Pact stood together and participated in The Alliance War, thus they have invaded Cyrodiil. Jorunn often presides over the Great Moot in Mournhold, the Pact's capital, letting his son prince Irnskar handle matters in Eastmarch. However he may quickly need to return to Skyrim, as the rumours say that his twin brother Fildgor Orcthane, possibly supported by The Covenant, is gathering his clan to claim the crown, while several reachmen clans allied with the Worm Cult, and are raiding The Rift...
{BANNERS_SKYRIM_DESCR}High King Svartr \n\n Skyrim continues to be divided in two, the west and east. High King Svartr has been defending against the increasing reachmen pressure from Markarth, creating a new hold Karthald, with its capital in Karthwatch, to serve as defensive border against their raids. Later, Svartr was replaced with his son Svargrim, who has followed his father footsteps. For some time, Fildgor Orcthane resided in Western Skyrim and became a member of Clan Stormfist, which he later ruled. When the Akaviri invasion happened, Fildgor returned to Eastern Skyrim to fight them, while Western Skyrim was spared of the war. Following Akaviri's defeat, and the formation of Ebonheart Pact, Svargrim became very paranoid the Pact's agents, and feared Jorunn the Skald-King, the new king of Eastern Skyrim. It is rumoured Fildgor Orcthane, who was exiled from Eastern Skyrim, resided either in Western Skyrim or Daggerfall Covenant for some time. Neverthless, nowadays Svagrim is an old paranoid man, who is willing to work even with the Gray Host, and whose only heir princess Svana spends most of her days drunk, while Falkreath has just fallen to the reachmen, who have renewed their attacks. Western Skyrim doesnt participate in the Alliance War, but they are affected by the Planemeld samely as everyone else...
{BANNERS_SPAIN_DESCR}King Satameh al-Hegathe \n\n After the defeat of Crowns Grandee Zizzeen in his campaign for the high kingship of Hammerfall against Fahara'jad, his power diminshed, and several of Crowns swore allegiance to Fahra'jad. Zizzeen's desendants now rule from Hegathe and control the surrounding land, and they never swore allegiance to Fahara'jad. Thus they are also not part of the Covenant and dont participate in the Alliance War, but they are affected by Planemeld as everyone else. However, seeing the downfall of Fahra'jad's popularity, due to the recent events, perhaps there may soon be an opportunity for the Crowns of Hegathe to regain their power
{BANNERS_MOORS_DESCR}High King Fahara'jad \n\n After the death of Ramzi "The Distrait" Phyllocid during the Khanatan Flu, his son Fahara'jad had lead a successful campaign against Crowns Grandee Zizzeen al-Antiphyllos, and thus he inherited his throne. He was determined to reestablish the glory of Phyllocid dynasty, to be a High King of whole Hammerfall as his ascendants used to be, not just a northern fraction of it like his father was. He was capably expanding his influence, also with help of his new ally, which he found in Emeric Cumberland. Upon marrying his daughter Maraya to Emeric, and winning the so called Ranser's War that was caused by it, he became a member of the greater Daggerfall Covenant. His wife Za-Rifah "Flower of Taneth" gave him two more children, Azah, the prince of Antiphyllos, and Lakana, who followed to footsteps of her older sister Maraya and married Nathaniel Cumberland, Emeric's younger brother. Being more powerful than before, due to his new alliances he had enough influence to proclaim himself a high king of all Hammerfall, expanding his realm further. But there were many of those who considered Fahra'jad an usurper and didnt become a part of his realm, especially the Crowns in Hegathe and also Forebears in Taneth, eventhough they havent openly challenged Fahara'jad. Peace between forebears and crowns in his realm was fragile, and conflicts between the factions werent unusual. Just before the start of Alliance War, his position became less stable, as his treacherous advisor Suturah killed several of his councillors and attempted to take High King's life, which failed, hence with his undead army he marched against Sentinel. As the redguards rejected to fight their risen ancestors, in fear that their souls would be forsaken, Fahara'jad was forced to call the Ash'abah tribe, who are considered "unclean" by other redguards, to save Sentinel. He attributed the victory to the intervention of The Divines, but rumours have already been spreading about what really happened. While nowadays most of redguard army is in Cyrodiil fighting for the Ruby Throne, Suturah's sons of Withered Hand have plotted to revenge their father. They managed to stole Ansei Wards, the sign of power of redguard kings, and started to amass a new undead army in Alikr desert. Thus, Fahara'jad's position is becoming very fragile, as now many of The Crowns, but also the Forebears, call for him to step down, while he has to ask Ash'abah for help again...
{BANNERS_VENICE_DESCR}Casimir Deleyn\n\n One of the greatest battles in High Rock history took a place before the gates of Daggerfall, resulting in the death of Durcorach and thus an end to the imperial conquest of High Rock. Daggerfall has has been grateful to Wayrest for organizing the joint breton help, and thus both, Bergamot Deleyn, and later his son Casimir Deleyn, joined both Covenants. As the Alliance War started, Daggerfall has been participating in the The Alliance War as well. Neverthless, a necromantic reachmen Bloothorn Cult hast started to corrupt Glenumbra. Led by Angof Gravesinger, they desecrated the ancient cemetery Cath Bedraud, where the majority of breton kings are burried, raising the dead to strenghten their armies and bring more death and chaos to The Covenant... Angof also managed to raise a powerful werewolf Faolchu at the ancient battlefield in Glenumbra Moors, ultimately overruning Camlorn and infecting breton nobility. Duke Sebastian of Camlorn was forced to retreat from the city, while in Daggerfall, an unsuccessful attempt was made at King Casimir Deleyn's life. And thus, Daggerfall and Covenant forces are gathering to retake Camlorn...
{BANNERS_MONGOLS_DESCR}High King Emeric Cumberland \n\n During the Durcorach's invasion, Wayrest had to survive 57-days long siege. Afterwards, Wayrest was instrumental in organizing a joint attack of all bretons against Durcorach's army, resulting in the imperial army being slaughtered at the gates of Daggerfall, and Durcorach being killed personally by earl Emeric Cumberland. King Gerard Gardner signed the first Daggerfall Covenant, a pact of mutual defence between the breton kingdoms. But when the Khanatan Flu came, the disease killed the king and his whole dynasty, and thus, Emeric Cumberland ascended to the throne. A peace didnt last for long, because when Emeric rejected to marry a daughter of King Ranser Branquette of Rivenspire, and married Fahara'jad's daughter Maraya instead, Ranser got furios and invaded Stormhaven, putting Wayrest under another long siege. It took joint forces of several breton kingdoms, Fahara'jad's redguards and Kurog gro-Bagkrakh's orsimers, to whom Emeric had to promise many rewards, to finally defeat Ranser. After this joint victory, Emeric became a high king of High Rock and formed the greater Daggerfall Covenant, which also included Fahara'jad's holdings in Hammerfall, and the newly created Kingdom of New Orsinium led by Kurog. Apart of many capable generals and armies, the covenant also have their secret intelligence network, the Ring of Daggers. Emeric didnt want have another king in Rivenspire, so instead he created a Triumvirate of houses Dorell, Tamrith and Monclair, to rule it jointly. Now with the Planemeld happening, Daggerfall Covenant participates in the Alliance War, and invaded Cyrodiil... However, in the same time many conflicts arose in the bretons's homeland - reachmen cult taking over Camlorn, a civil war in Rivenspire and Bangkorai being invaded by the Seventh Legion and the reachmen...
{BANNERS_SHARN_DESCR}Lord Wylon Montclair  \n\n Rivenspire led by king Hurlburt Branquette fought against the Durcorach's imperials and reachmen like everyone else, and following bretons' victory over Durcorach, they joined the first Daggerfall Covenant. Neverthless, once Hurlburt died, his son Phylgeon inherited the throne, with support of House Montclair. But older Ranser, Hurlburt's tamrith bastard was supported by other houses, most importantly by House Tamrith, and thus a trial begun to decide who should sit on the throne. Wylon Montclair brought some proofs, such as Bretonnick Natalitie codicile, which claimed that "Howse Mont Clayre" was indeed the royal house of Sharnhelm, but in the end the council chose Ranser to be king of Rivenspire anyway. Phylegon Branquette didnt resist, and instead became the baron of Montclair. New king Ranser became known for his hot-headed temper and brutal reign. King Emeric Cumberland had been looking for a wife, and he seemed to accept Ranser's offer to marry his daughter Rayelle, but in the end he instead chose to marry Fahara'jad's daughter Maraya, which enraged Ranser greatly, and thus he declared war against Wayrest, gathering all rivenspire houses to arms, except House Ravenwatch, who remained neutral. The conflict became knowns as Ranser's War and it began with a siege of Wayrest. His half brother Phylgeon attempted to serve as a peace envoy for both sides. While Emeric's answer was lost to time, Ranser had angrily refused, and thus the war continued. Emeric's allies started to gather and the siege of Wayrest was lifted, and thus they advanced into Rivenspire. A decisive force were the orsimers under Kurog gro-Bagrakh, who set Sharnhelm ablaze. Soon, Ranser's forces were overrun, and the houses started to abandon him.. First abandoned him House Tamrith and Dorell. House Montclair surrendered to Wayrest just before the final battle at Markwasten Moor, where Ranser was believed to be killed, eventhough he actually died a few days later, betrayed by his last men. The Crown of Sharnhelm was lost and Branquette dynasty ended, and since Emeric didnt want Rivenspire to have a king again, he rather chose to create a triumvirate, so the three main houses would rule Rivenspire jointly. And thus, the Council of the North were Countess Esselde Tamrith, Baron Allard Dorell and Lord Wylon Montclair and they had reservations to the orsimer being part of the pact. However, Wylon is a possesive men, and when his wife went ill, he was willing to undergo anything to keep her alive, such as turning her a vampire to keep her alive. Because Wylon's personal friend, vampiric Count Verandis Ravenwatch, refused to turn Leila into a vampire, Wylon was forced to use service of Reezal-Jul. Reezal-Jul was a necromancer formerly serving Ranser, who wished to avenge for King Ranser. Thus, he fooled Wylon, and in the ritual that was meant to turn Leila vampire, he instead turned Wylon and his family members vampires, while unfortunately Leila had to be killed by Verandis. Wylon was blinded by grief, and sought to attain revenge against House Ravenwatch and also decided to press his claim to Rivenspire kingship, as he was the direct heir of Phylgeon, and thus the Branquette dynasty. With help of Reezal-Jul, House Montclair used Lightless Remmant in Erokii to turn many citizens of Rivenspire bloodfiends, lot of them dying, and also turning some of them vampires to weaken the other houses and thus managed to seize Sharnhelm...
{BANNERS_EVER_DESCR}King Eamond Guimard \n\n Blaise Guimard and knights of Saint Pelin managed to retake Bangkorai back from The Empire, while The Empire was defeated in Daggerfall. After Durcorach's demise, they joined the first Covenant as well, and Blaise Guimard became king of of Bangkorai, in place of Moile dynasty, as all remaining members of House Moile had been slained by the reachmen. Evermore's power has been rising, as they made a strong alliance with Emeric Cumberland of Stormhaven through Emeric's cousin Arzhela Cumberland marrying Eamond Guimard, a new king of Evermore, giving him a son Adrien, eventhough they also had to resolve disputes regarding Fallen Wastes, as High King Fahra'jad claims it to belong to the redguards. Entering the greater Daggerfall, Evermore has been participating in the present Alliance War as well. Although due to most of Evermore armies being away, it is now in danger, which used to their advantage The Seventh Legion led by imperial-magnus Septima Tharn, who also made an alliance with Dark Witnesses, a reachmen clan, to strenghten her Bangkorai invasion. As Covenant is busy elsewhere, there is not many men to defend Bangkorai...
{BANNERS_FRANCE_DESCR} King Aeradan Camoran \n\n Aeradan Camoran has managed to save Valenwood from being conquered by the imperials and united it by winning the civil war against Blacksap Rebellion due to the significant help from the altmers, especially High Queen Ayrenn. Blacksap Rebellion was led by Gelthior Camoran, who wished to replace Aeradan and lead Valenwood in more traditional manners. But the Rebellion was ended brutally, when altmer General Endare of Jade Dragons conquered Cormount, the Rebellion's capital, and committed a massacre against the rebels, geting a nickname "Butcher". The loosing rebels feared the same fate, and thus the war ended quickly afterwards, with Gelthior surrendering to Aeradan. When Valenwood became part of the pact, Elden Root became Dominion's capital and Aeradan was granted a high position within The Thalmor Council, and many bosmeri threethanes and chieftains became members of it as well, to govern the Dominion. Upon entering the Alliance War, the bosmers participate in the war in Cyrodiil as well, but Heritance's rebellion strucks Valenwood significantly as well, as many of Heritance's armies is in Valenwood territory, including General Endare, and their maormer allies raiding the Greenshade coast. Furthermore, several Wood Orcs clans, inspired by New Orsinium's rise, become hostile to the bosmers, and the rumours also say, that the Covenant might be sending aid to them. The Silvenar Edhelorn, tradiotionally a Voice of bosmer peope, handling the politics matter on behalf of the bosmers, was killed at Khenarthi's Roost, thus a new one needs to chosen... Meanwhile Vinedusk rangers are engaging in Arenthia with the imperials, as its threatened by Tharn's invasion of Reaper's March in northern Elsweyr as well...
